"Transaction ID",Timestamp,"Transaction Type",In/Out,"Amount Fiat",Fiat,"Amount Asset",Asset,"Asset market price","Asset market price currency","Asset class","Product ID",Fee,"Fee asset",Spread,"Spread Currency"
T3fd6f4f4-7fdd-4f66-a93f-c4bf26d21d6f,2021-05-05T13:13:02+02:00,buy,outgoing,150.00,EUR,0.00318790,BTC,47052.92,EUR,Cryptocurrency,1,-,-,-,-
Taf4b5acc-d083-4e79-a03d-79ac76d8495f,2021-05-05T13:16:55+02:00,buy,outgoing,150.00,EUR,0.05211019,ETH,2878.52,EUR,Cryptocurrency,5,-,-,-,-
Ff9e53444-752d-458e-bd91-2782d9928068,2021-05-28T14:22:27+02:00,deposit,incoming,300.00,EUR,-,EUR,-,-,Fiat,-,0.00000000,EUR,-,-
Tb13d8cf7-0f6c-43c9-aee0-d9a8e92fe969,2021-05-29T11:17:43+02:00,buy,outgoing,150.00,EUR,169.85390774,MIOTA,0.88,EUR,Cryptocurrency,13,-,-,-,-
Ta393d828-abdd-461e-ad3d-ce6f9949b01d,2021-05-30T19:04:18+02:00,buy,outgoing,100.00,EUR,0.04877267,ETH,2050.33,EUR,Cryptocurrency,5,-,-,-,-
T60cb017c-5261-4db1-a58a-e4f7e73aef98,2021-06-01T14:01:24+02:00,buy,outgoing,50.00,EUR,0.53874195,ICP,92.81,EUR,Cryptocurrency,136,-,-,-,-
4e8ee118-5aa3-4ef5-85d9-e81b63773840,2021-06-01T16:53:16+02:00,transfer,incoming,0.25,EUR,0.22186371,BEST,1.14,EUR,Cryptocurrency,33,-,-,-,-
Fa5b93821-a334-4d3a-97a7-58792a52863e,2021-06-08T10:59:08+02:00,deposit,incoming,100.00,EUR,-,EUR,-,-,Fiat,-,0.00000000,EUR,-,-
T98d019f6-c53a-4735-819b-325c2520d700,2021-06-08T11:01:19+02:00,buy,outgoing,100.00,EUR,1.32005485,ICP,75.75,EUR,Cryptocurrency,136,-,-,-,-
Ff05cbbcd-97ce-4f82-813d-e6c1855364d6,2021-07-01T09:34:15+02:00,deposit,incoming,200.00,EUR,-,EUR,-,-,Fiat,-,0.00000000,EUR,-,-
T176f0c34-4e0a-4fb8-aef6-70698330fc6c,2021-07-01T13:03:11+02:00,buy,outgoing,100.00,EUR,2.57912455,ICP,38.77,EUR,Cryptocurrency,136,-,-,-,-
C5d3d2411-da2a-4d68-99fc-b9d8aeac12d7,2021-07-01T13:03:12+02:00,withdrawal,outgoing,0,EUR,0.00000000,BEST,0.00,-,Cryptocurrency,33,2.34405070,BEST,-,-
T971614b7-2d7d-4dd7-aaff-fd0f23ad0cff,2021-07-01T13:05:27+02:00,buy,outgoing,100.00,EUR,145.55198376,MIOTA,0.69,EUR,Cryptocurrency,13,-,-,-,-
1ca54e40-74f5-47e0-aed4-2fa336054664,2021-07-01T13:26:19+02:00,transfer,incoming,0.20,EUR,0.22297303,BEST,0.87,EUR,Cryptocurrency,33,-,-,-,-
F9ace203c-c6a3-495b-a2a8-2b6f8dcb685e,2021-07-01T16:17:40+02:00,transfer,incoming,0.02,EUR,-,EUR,-,-,Fiat,-,-,-,-,-
